Year,State,Value,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
2012,Alabama,151000.0,0.01975,0.06275000000000001,1243.0833333333333,0.0036666666666666657,0.6069999999999999,1656.25,0.01516666666666666,0.29824999999999996,9085.916666666666,0.004583333333333333,0.18516666666666662,130.66666666666666,-0.16666666666666666,-29.083333333333332,0.94975,0.0008333333333333335,0.009833333333333335
2012,Alaska,251000.0,0.005333333333333333,0.03841666666666667,498.25,0.028749999999999994,0.07800000000000001,744.5,0.053749999999999964,0.06083333333333334,3296.25,0.005499999999999998,-0.025499999999999995,111.16666666666667,0.0,-3.75,0.9820000000000001,0.0003333333333333333,0.0018333333333333335
2012,Arizona,146833.33333333334,0.022500000000000003,0.24566666666666667,9116.0,-0.0017500000000000016,-0.0745,10582.25,0.0005000000000000051,-0.05841666666666667,27946.833333333332,-0.009583333333333333,-0.2605,49.583333333333336,-1.1666666666666667,-18.25,0.9884999999999998,0.0006666666666666666,0.014833333333333337
2012,Arkansas,121000.0,0.0015833333333333318,0.0565,287.5,0.027583333333333324,0.6710833333333334,371.9166666666667,0.08833333333333337,0.6124999999999999,1704.9166666666667,0.04916666666666667,0.4854166666666666,111.91666666666667,2.0833333333333335,6.25,0.9325833333333332,-0.0015833333333333335,-0.0019166666666666666
2012,California,329500.0,0.017166666666666667,0.08808333333333333,27792.75,0.012999999999999992,0.08583333333333333,28923.666666666668,-0.006333333333333323,-0.12283333333333334,63220.0,-0.06508333333333333,-0.42116666666666663,43.166666666666664,-2.6666666666666665,-17.416666666666668,0.9910833333333332,0.0018333333333333333,0.013333333333333334
2012,Colorado,234166.66666666666,0.014916666666666667,0.07683333333333332,5874.583333333333,0.02066666666666667,0.17466666666666666,7232.25,0.027000000000000014,0.07233333333333332,23095.833333333332,-0.012583333333333335,-0.22075,63.25,-1.5,-23.083333333333332,0.9760833333333334,0.0007499999999999998,0.011333333333333334
2012,Columbia,423916.6666666667,0.011500000000000002,0.08666666666666667,607.75,0.01758333333333333,0.07625,729.5833333333334,0.033083333333333326,-0.03866666666666667,1650.0,-0.03133333333333333,-0.2895833333333333,35.333333333333336,-1.0833333333333333,-13.833333333333334,0.9839999999999999,0.0010833333333333337,0.008250000000000002
2012,Connecticut,195916.66666666666,0.0013333333333333333,-0.010750000000000001,1438.3333333333333,0.027083333333333345,0.16033333333333336,2281.1666666666665,0.020833333333333325,0.04275000000000001,13726.166666666666,-0.0038333333333333323,-0.021249999999999995,140.83333333333334,-0.75,-2.4166666666666665,0.9476666666666667,0.0006666666666666669,0.0014166666666666666
2012,Delaware,179666.66666666666,0.0045833333333333325,-0.04416666666666667,584.9166666666666,0.0038333333333333275,0.19866666666666666,772.8333333333334,-0.003333333333333329,-0.026333333333333334,3385.4166666666665,-0.02,-0.18533333333333332,69.5,-2.3333333333333335,-17.083333333333332,0.9575833333333335,0.0010000000000000002,0.006333333333333333
2012,Florida,135083.33333333334,0.015000000000000001,0.12066666666666666,23219.083333333332,0.01983333333333333,0.07366666666666667,20995.75,0.005166666666666664,0.04683333333333334,108363.5,-0.007083333333333334,-0.08583333333333333,96.75,-1.0833333333333333,-12.666666666666666,0.95375,0.0009166666666666666,0.007333333333333333
2012,Georgia,117583.33333333333,0.021750000000000002,0.06341666666666666,8376.416666666666,0.009333333333333334,0.17591666666666664,12089.666666666666,-0.006666666666666661,-0.11633333333333333,49708.333333333336,-0.028,-0.28033333333333327,73.41666666666667,-1.3333333333333333,-19.666666666666668,0.9652500000000002,0.0015833333333333333,0.019416666666666665
2012,Hawaii,387833.3333333333,0.009666666666666667,0.056666666666666664,933.1666666666666,0.027416666666666662,0.06858333333333334,1095.3333333333333,-0.0037499999999999964,-0.043500000000000004,6076.916666666667,-0.012499999999999999,-0.12708333333333335,153.75,-2.5,-13.166666666666666,0.9631666666666666,0.0006666666666666666,0.0029999999999999996
2012,Idaho,146000.0,0.0165,0.11258333333333333,1717.3333333333333,0.008916666666666668,0.07708333333333332,1872.75,0.005749999999999987,-0.0037499999999999986,10027.166666666666,-0.010333333333333333,-0.1489166666666667,130.16666666666666,-0.75,-19.916666666666668,0.9765000000000001,0.0002499999999999998,0.0065000000000000014
2012,Illinois,145166.66666666666,0.005833333333333332,-0.0036666666666666683,10044.166666666666,0.026583333333333334,0.2376666666666667,13998.75,0.020666666666666663,0.02533333333333333,61440.166666666664,-0.018083333333333337,-0.17225000000000001,89.41666666666667,-2.0833333333333335,-16.5,0.9483333333333333,0.0010833333333333335,0.008416666666666668
2012,Indiana,121666.66666666667,0.008416666666666664,0.043500000000000004,3425.0,0.022416666666666668,0.231,4722.916666666667,0.025583333333333336,0.11175000000000002,23958.0,-0.0015000000000000002,-0.023250000000000003,116.66666666666667,-0.5833333333333334,-16.166666666666668,0.9488333333333333,0.0005833333333333335,0.007583333333333333
2012,Iowa,136583.33333333334,0.009999999999999998,0.04633333333333334,1113.4166666666667,0.025499999999999995,0.2095,1419.75,0.027083333333333338,0.3076666666666667,7201.25,0.015083333333333329,0.2384166666666667,126.16666666666667,-1.5,-8.166666666666666,0.9576666666666666,0.0005833333333333335,0.007916666666666667
