Year,State,FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
1976,Los Angeles County,37.0,5320083.333333333,3397155.6666666665,63.166666666666664,3097739.5,58.0,299416.1666666667,8.0
1976,Louisiana,22.0,2707250.0,1531483.0833333333,56.0,1429838.5833333333,52.166666666666664,101644.5,6.0
1976,Maine,23.0,772833.3333333334,476392.6666666667,61.083333333333336,435159.5833333333,55.833333333333336,41233.083333333336,8.083333333333334
1976,Maryland,24.0,2977416.6666666665,1913721.6666666667,64.0,1788245.3333333333,60.0,125476.33333333333,6.0
1976,Massachusetts,25.0,4212166.666666667,2727396.0,64.0,2462179.8333333335,58.0,265216.1666666667,9.333333333333334
1976,Michigan,26.0,6453166.666666667,3986740.0,61.083333333333336,3612371.25,55.583333333333336,374368.75,9.0
1976,Minnesota,27.0,2812250.0,1850936.6666666667,65.41666666666667,1743685.0,61.583333333333336,107251.66666666667,5.166666666666667
1976,Mississippi,28.0,1657166.6666666667,970470.9166666666,58.0,907595.9166666666,54.0,62875.0,6.0
1976,Missouri,29.0,3486916.6666666665,2123590.25,60.5,1992074.1666666667,56.583333333333336,131516.08333333334,5.75
1976,Montana,30.0,536666.6666666666,334868.0833333333,62.0,315198.5833333333,58.083333333333336,19669.5,5.25
1976,Nebraska,31.0,1101166.6666666667,716884.0,64.5,694274.8333333334,62.583333333333336,22609.166666666668,3.0
1976,Nevada,32.0,463416.6666666667,328288.25,70.41666666666667,299310.5833333333,64.08333333333333,28977.666666666668,8.333333333333334
1976,New Hampshire,33.0,602000.0,399043.0,65.66666666666667,373405.0,61.583333333333336,25638.0,6.0
1976,New Jersey,34.0,5382750.0,3320847.4166666665,61.166666666666664,2975638.75,55.0,345208.6666666667,10.0
1976,New Mexico,35.0,808000.0,488710.6666666667,60.0,446124.5,55.0,42586.166666666664,8.166666666666666
1976,New York,36.0,13221750.0,7677231.333333333,58.0,6893459.083333333,52.0,783772.25,10.0
1976,New York city,51000.0,5679083.333333333,3074181.75,53.666666666666664,2732928.4166666665,47.666666666666664,341253.3333333333,10.916666666666666
1976,North Carolina,37.0,3937333.3333333335,2607600.0,66.0,2445928.5833333335,61.833333333333336,161671.41666666666,5.833333333333333
1976,North Dakota,38.0,446250.0,280334.1666666667,62.416666666666664,269765.0,60.0,10569.166666666666,3.3333333333333335
1976,Ohio,39.0,7731000.0,4754147.75,61.0,4386622.333333333,56.0,367525.4166666667,7.333333333333333
1976,Oklahoma,40.0,2020583.3333333333,1192067.5,58.5,1125427.5,55.0,66640.0,5.0
1976,Oregon,41.0,1739583.3333333333,1096036.0833333333,62.416666666666664,994420.0833333334,56.583333333333336,101616.0,9.0
1976,Pennsylvania,42.0,8807166.666666666,5138443.0,58.0,4726784.166666667,53.0,411658.8333333333,7.666666666666667
1976,Rhode Island,44.0,695750.0,441462.5,63.0,406169.0833333333,57.75,35293.416666666664,7.416666666666667
1976,South Carolina,45.0,2007416.6666666667,1299242.0833333333,64.25,1208131.8333333333,60.0,91110.25,6.5
1976,South Dakota,46.0,480583.3333333333,310519.5,64.0,300226.25,62.0,10293.25,3.0
1976,Tennessee,47.0,3112916.6666666665,1859821.25,59.333333333333336,1746418.0,55.666666666666664,113403.25,5.833333333333333
1976,Texas,48.0,8957666.666666666,5709212.0,63.0,5376181.416666667,59.666666666666664,333030.5833333333,5.0
1976,Utah,49.0,836416.6666666666,525405.0,62.5,495963.3333333333,58.75,29441.666666666668,5.0
1976,Vermont,50.0,342916.6666666667,217968.08333333334,63.0,199941.5,57.833333333333336,18026.583333333332,7.75
1976,Virginia,51.0,3578083.3333333335,2341579.3333333335,65.0,2203985.1666666665,61.0,137594.16666666666,5.333333333333333
1976,Washington,53.0,2633666.6666666665,1617187.1666666667,60.916666666666664,1475063.4166666667,55.5,142123.75,8.333333333333334
1976,West Virginia,54.0,1366916.6666666667,708148.5,51.5,657111.5833333334,47.583333333333336,51036.916666666664,6.75
1976,Wisconsin,55.0,3266333.3333333335,2145221.0,65.0,2027325.9166666667,61.583333333333336,117895.08333333333,5.0
1976,Wyoming,56.0,275500.0,180625.83333333334,65.08333333333333,173663.41666666666,62.583333333333336,6962.416666666667,3.3333333333333335
1977,Alabama,1.0,2688916.6666666665,1564380.0,57.75,1452653.8333333333,53.5,111726.16666666667,6.666666666666667
1977,Alaska,2.0,248083.33333333334,173473.41666666666,69.41666666666667,156313.66666666666,62.5,17159.75,9.5
